id,category,question,answer,tags
KB-01,เวลาทำการ,ร้านเปิดกี่โมงถึงกี่โมง,เปิดทุกวัน 07:00–20:00 น. ครัวปิดรับออเดอร์เวลา 19:30 น. ค่ะ,"เวลาทำการ,เปิด,ปิด,กี่โมง,opening hours"
KB-02,ที่ตั้ง,ร้านอยู่ตรงไหน ใกล้อะไร,สาขา 1 อยู่ที่ 88/12 ถ.สุขุมวิท แขวงคลองตัน เขตวัฒนา กรุงเทพฯ ใกล้ BTS พร้อมพงษ์ ทางออก 2 เดิน 5 นาทีค่ะ,"ที่ตั้ง,แผนที่,สาขา,ที่อยู่,BTS,location"
KB-03,ชำระเงิน,จ่ายเงินด้วยอะไรได้บ้าง,"รับเงินสด, โอน/QR พร้อมเพย์, บัตรเครดิต/เดบิต และ Rabbit LINE Pay ค่ะ","ชำระเงิน,จ่ายเงิน,โอน,บัตร,QR,payment"
KB-04,เดลิเวอรี,สั่งเดลิเวอรีได้ช่องทางไหนบ้าง,สั่งตรงผ่านแชท LINE นี้ได้เลย หรือสั่งผ่าน Grab Food และ LINE MAN ค่ะ,"เดลิเวอรี,ส่ง,delivery,grab,lineman"
KB-05,ค่าส่ง,ค่าส่งเท่าไหร่ สั่งเท่าไหร่ถึงฟรีค่าส่ง,สั่งผ่าน LINE OA โดยตรง: ฟรีค่าส่งเมื่อสั่งครบ 300 บาท ต่ำกว่านั้นคิดค่าส่ง 30 บาท (บริการเฉพาะรัศมี 5 กม.),"ค่าส่ง,ฟรีค่าส่ง,ขั้นต่ำ,shipping fee"
KB-06,เวลาส่ง,สั่งแล้วรอนานไหม,โดยเฉลี่ยจัดส่งภายใน 30–45 นาที ขึ้นอยู่กับระยะทางและช่วงเวลาเร่งด่วนค่ะ,"เวลาส่ง,รอนาน,กี่นาที,eta"
KB-07,ยกเลิกออเดอร์,ยกเลิกออเดอร์ได้ไหม,"ยกเลิกได้ก่อนที่ครัวจะเริ่มทำอาหาร (สถานะ ""รับออเดอร์แล้ว"") หากเริ่มทำแล้วอาจไม่สามารถยกเลิกได้ — ทีมงานจะช่วยตรวจสอบและแจ้งผลอีกครั้งค่ะ","ยกเลิก,cancel,ยกเลิกออเดอร์"
KB-08,คืนเงิน,ขอเงินคืนได้ไหมถ้าอาหารมีปัญหา,แจ้งปัญหาเข้ามาได้เลยค่ะ ทีมงานจะตรวจสอบและพิจารณาเป็นรายกรณี,"คืนเงิน,refund,เคลม,ขอเงินคืน"
KB-09,โปรโมชัน,มีโปรโมชันอะไรบ้างตอนนี้,"ดูโปรโมชันปัจจุบันได้จากเมนู ""โปรโมชัน"" ใน Rich Menu หรือถามชื่อเมนูที่สนใจได้เลย น้องอิ่มใจเช็คให้ค่ะ","โปรโมชัน,ส่วนลด,promotion,ลดราคา"
KB-10,ที่จอดรถ,มีที่จอดรถไหม,มีที่จอดรถหน้าร้าน 6 คัน ที่จอดมีจำกัดในช่วงเวลาเร่งด่วนค่ะ,"ที่จอดรถ,parking,จอดรถ"
KB-11,Wi-Fi,ร้านมี Wi-Fi ให้ลูกค้าไหม,มีค่ะ SSID: ImJai_Guest รหัสผ่านสามารถขอได้ที่เคาน์เตอร์,"wifi,ไวไฟ,อินเทอร์เน็ต,รหัสwifi"
KB-12,สัตว์เลี้ยง,พาสัตว์เลี้ยงเข้าร้านได้ไหม,รับเฉพาะโซนนั่งด้านนอกร้าน (Pet-friendly outdoor zone) ค่ะ,"สัตว์เลี้ยง,หมา,แมว,pet friendly"
KB-13,จองโต๊ะ,จองโต๊ะล่วงหน้าได้ไหม,รับจองโต๊ะสำหรับกลุ่มตั้งแต่ 6 ท่านขึ้นไป แจ้งวันเวลาและจำนวนคนได้เลยค่ะ ทีมงานจะยืนยันอีกครั้ง,"จองโต๊ะ,reservation,จอง,โต๊ะ"
KB-14,อาการแพ้อาหาร,ร้านมีเมนูสำหรับคนแพ้กลูเตน/นมไหม,มีเมนูทางเลือกบางส่วน สามารถถามชื่อเมนูที่สนใจเพื่อเช็คส่วนผสมและสารก่อภูมิแพ้ได้ค่ะ,"แพ้อาหาร,กลูเตน,นม,allergen,allergy"
KB-15,บัตรสมาชิก,มีระบบสะสมแต้ม/สมาชิกไหม,"มีค่ะ สมัครสมาชิกผ่าน Rich Menu ""สมัครสมาชิก"" สะสม 1 บาท = 1 แต้ม แลกส่วนลดได้ทุก 100 แต้ม","สมาชิก,สะสมแต้ม,member,point"
