type,topic,detail,status
faq,เวลาทำการ,เปิดทุกวัน 07:00–20:00 น. ครัวปิดรับออเดอร์เวลา 19:30 น. ค่ะ,active
faq,ที่ตั้ง,สาขา 1 อยู่ที่ 88/12 ถ.สุขุมวิท แขวงคลองตัน เขตวัฒนา กรุงเทพฯ ใกล้ BTS พร้อมพงษ์ ทางออก 2 เดิน 5 นาทีค่ะ,active
faq,ที่จอดรถ,มีที่จอดรถหน้าร้าน 4 คัน และลานจอดของอาคารข้างเคียงหลัง 18:00 น. ค่ะ,active
faq,Wi-Fi,มี Wi-Fi ฟรีค่ะ รหัสอยู่ที่ใบเสร็จหรือถามพนักงานหน้าร้านได้เลยค่ะ,active
faq,ชำระเงิน,รับเงินสด โอน/QR พร้อมเพย์ บัตรเครดิต/เดบิต และ Rabbit LINE Pay ค่ะ,active
faq,เดลิเวอรี,สั่งตรงผ่านแชท LINE นี้ได้เลย (น้องอิ่มใจรับออเดอร์ในแชท) หรือสั่งผ่าน Grab Food และ LINE MAN ค่ะ,active
faq,ค่าส่ง,สั่งผ่าน LINE OA โดยตรง ฟรีค่าส่งเมื่อสั่งครบ 300 บาท ต่ำกว่านั้นคิดค่าส่ง 30 บาท (บริการเฉพาะรัศมี 5 กม.),active
faq,จองโต๊ะ,จองโต๊ะล่วงหน้าได้ผ่านแชทนี้ แจ้งวันเวลาและจำนวนคนได้เลยค่ะ ทีมงานจะยืนยันให้อีกครั้ง,active
faq,สมาชิก,สมัครสมาชิกฟรี สะสมทุก 25 บาทได้ 1 แต้ม ครบ 100 แต้มแลกเครื่องดื่มฟรี 1 แก้วค่ะ,active
faq,สัตว์เลี้ยง,อนุญาตให้พาสัตว์เลี้ยงมาได้เฉพาะโซนระเบียงด้านนอกค่ะ,active
faq,นโยบายยกเลิกออเดอร์,ยกเลิกออเดอร์ได้ก่อนที่ครัวเริ่มทำ หากเริ่มทำแล้วขอสงวนสิทธิ์ไม่คืนเงินค่ะ ทุกกรณีทีมงานจะเป็นคนตรวจสอบและยืนยันให้เท่านั้น,active
faq,นโยบายคืนเงิน,กรณีอาหารผิดพลาดจากทางร้าน แจ้งทีมงานภายในวันที่สั่งซื้อ ทีมงานจะตรวจสอบและดำเนินการคืนเงินให้ภายใน 3–5 วันทำการค่ะ,active
faq,ที่จอดรถมอเตอร์ไซค์,จอดรถมอเตอร์ไซค์ได้บริเวณด้านข้างร้านค่ะ ไม่มีค่าใช้จ่าย,active
faq,ห้องน้ำ,มีห้องน้ำให้บริการลูกค้าชั้น 1 ค่ะ,active
faq,คูปองส่วนลด,ติดตามโปรโมชันและคูปองได้ทางเพจ Facebook อิ่มใจ Cafe & Kitchen ค่ะ,active
product,ข้าวผัดกะเพราหมูสับ+ไข่ดาว,79 บาท เผ็ดกลาง ใส่ไข่ดาว 1 ฟอง เลือกไม่ใส่ผงชูรสได้ ไม่มีสารก่อภูมิแพ้หลัก,active
product,ข้าวไข่เจียวหมูสับ,65 บาท ไข่เจียวนุ่มสไตล์ญี่ปุ่น เสิร์ฟพร้อมข้าวสวยและน้ำจิ้มซีฟู้ด มีไข่ (Egg),active
product,สปาเก็ตตี้คาโบนาร่า,99 บาท ครีมชีสเบคอน ใส่พาร์เมซานชีส มีนม (Milk) และไข่ (Egg),active
product,แซนวิชแฮมชีส,69 บาท ขนมปังโฮลวีต แฮม เชดดาร์ชีส ผักสด มีนม (Milk) และกลูเตน (Gluten),active
product,ต้มยำกุ้ง,120 บาท ต้มยำน้ำข้นรสจัด ใส่กุ้งสด 4 ตัว มีสัตว์น้ำมีเปลือก (Shellfish) — วันนี้หมดชั่วคราว แนะนำสปาเก็ตตี้คาโบนาร่าหรือข้าวผัดกะเพราแทนได้,out_of_stock
product,เค้กช็อกโกแลต,89 บาท เนื้อเข้มข้น หน้าเคลือบกานาช มีนม (Milk) ไข่ (Egg) และกลูเตน (Gluten),active
product,ครัวซองต์เนยสด,55 บาท อบสดทุกเช้า มีนม (Milk) กลูเตน (Gluten) — ซื้อคู่กับกาแฟ/ชาลด 15 บาท ถึง 31 ส.ค. 2569,active
product,ชีสเค้กเรดเวลเวท,95 บาท เนื้อนุ่มครีมชีส มีนม (Milk) ไข่ (Egg) และกลูเตน (Gluten),active
product,อเมริกาโน่ (ร้อน/เย็น),60 บาท เอสเพรสโซ + น้ำร้อน/น้ำแข็ง ไม่มีสารก่อภูมิแพ้หลัก,active
product,ลาเต้ (ร้อน/เย็น),70 บาท เอสเพรสโซ + นมสด มีนม (Milk) — ซื้อคู่กับเบเกอรีลด 15 บาท ถึง 31 ส.ค. 2569,active
product,คาปูชิโน่,70 บาท เอสเพรสโซ + นมสด + ฟองนม มีนม (Milk) — ซื้อคู่กับเบเกอรีลด 15 บาท ถึง 31 ส.ค. 2569,active
product,มอคค่าเย็น,80 บาท เอสเพรสโซ + นม + ช็อกโกแลต มีนม (Milk) — ซื้อคู่กับเบเกอรีลด 15 บาท ถึง 31 ส.ค. 2569,active
product,ชาไทยเย็น,65 บาท ชาไทย + นมข้น + นมสด มีนม (Milk),active
product,มัทฉะลาเต้,85 บาท มัทฉะเกรดพรีเมียม + นมสด มีนม (Milk),active
product,น้ำผึ้งมะนาวโซดา,60 บาท น้ำผึ้ง + มะนาว + โซดา ไม่มีสารก่อภูมิแพ้หลัก,active
product,สมูทตี้สตรอว์เบอร์รี,90 บาท สตรอว์เบอร์รี + โยเกิร์ต มีนม (โยเกิร์ต),active
