ticket_id,category,message,sentiment,is_high_risk,action_requested,requires_human_approval,status,assigned_to,created_at,order_id,line_user_id
TK-1041,product_quality,กาแฟหวานไปหน่อยคะ ปรับได้ไหม,Negative,FALSE,none,FALSE,resolved,barista_team,2026-08-18 12:50,,
TK-1042,delivery,รอเกินเวลาที่แจ้งไป 40 นาทีแล้ว,Very Negative,FALSE,special_discount,TRUE,pending_approval,support_lead,2026-08-19 19:55,ORD-20260819-014,
TK-1043,product_quality,เจอเส้นผมในอาหารคะ,Very Negative,TRUE,refund,TRUE,pending_approval,support_lead,2026-08-19 20:10,ORD-20260819-015,Uabc123line
TK-1044,billing,โดนตัดเงินซ้ำ 2 ครั้ง,Negative,FALSE,refund,TRUE,pending_approval,finance_team,2026-08-19 21:00,ORD-20260818-001,
TK-1045,compliment,อาหารอร่อยมาก บริการดีคะ,Positive,FALSE,none,FALSE,closed,support_team,2026-08-20 09:40,,
TK-1046,order,ขอยกเลิกออเดอร์ ORD-20260820-004 คะ,Neutral,FALSE,cancel_order,TRUE,pending_approval,support_lead,2026-08-20 11:22,ORD-20260820-004,
TK-1047,food_safety,ลูกแพ้ถั่วรุนแรง กินเมนูนี้แล้วแน่นหน้าอก,Very Negative,TRUE,refund,TRUE,pending_approval_urgent,store_manager,2026-08-20 12:05,ORD-20260820-005,
TK-1048,service,พนักงานพูดจาไม่สุภาพ,Very Negative,TRUE,special_discount,TRUE,pending_approval,store_manager,2026-08-20 12:40,,
TK-1049,general,ร้านมีที่จอดรถให้ลูกค้าเพิ่มไหม,Neutral,FALSE,none,FALSE,answered_by_kb,ai_agent,2026-08-20 13:00,,
TK-1050,product_quality,ขนมไม่สดเท่าที่ควรวันนี้,Negative,FALSE,none,FALSE,resolved,barista_team,2026-08-20 13:20,,
